Estacion,Estacion_homologada,Troncal,Rutas_Disponibles,Entradas,Salidas,Trafico,Cluster
Toberín,(02101)Toberin - Foundever,B,24,28006,31049,59055,2
Ricaurte,(07111)NQS - RICAURTE,F,22,11026,13401,24427,2
AV. Jiménez,(09110)Avenida Jimenez,A,21,33876,36010,69886,2
Calle 19,(09111)Calle 19,A,19,10532,17035,27567,2
Alcalá,(02200)AlcalÃ¡ â€“ Colegio S. TomÃ¡s Dominicos,B,18,24345,22648,46993,2
Banderas,(05100)Banderas P. Central,F,18,38590,47233,85823,2
Héroes – Gelhada,(02304)Heroes - Gel hada,B,18,16040,14414,30454,2
Avenida 39,(09116)Avenida 39,A,17,9265,11915,21180,2
Calle 34,(09115)Calle 34 - Fondo Nacional de Garantias,A,17,23025,27950,50975,2
Calle 40 S.,(09100)Calle 40 Sur,H,17,9700,13324,23024,2
Calle 45 - American School Way,(09117)Calle 45,A,17,21805,25527,47332,2
Calle 146,(02104)Calle 146,B,16,14088,14625,28713,2
Calle 57,(09119)Calle 57,A,16,30816,37603,68419,2
Calle 76 - San Felipe,(09123)Calle 76 - San Felipe,A,16,27290,36465,63755,2
Calle 85,(02303)Calle 85,B,16,16973,18688,35661,2
Polo - Fincomercio,(04108)Polo â€“  FINCOMERCIO,D,16,8601,6950,15551,0
Prado,(02201)Prado,B,16,10732,11738,22470,2
Suba - TV. 91,(03002)SUBA - TV- 91,C,16,16361,19290,35651,2
Virrey,(02302)Virrey,B,16,17376,19053,36429,2
Avenida 1° de Mayo,(10002)Av. Primero de Mayo,L,14,18585,26125,44710,2
Calle 100,(02300)Calle 100 - Marketmedios,B,14,43493,49640,93133,1
Calle 127,(02202)Calle 127,B,14,20575,24493,45068,2
Calle 142,(02105)Calle 142,B,14,11602,11367,22969,0
Granja - Carrera 77,(04100)Carrera 77,D,14,7860,9827,17687,0
Pepe Sierra,(02204)Pepe Sierra,B,14,16733,18334,35067,2
Puentelargo,(03010)PUENTE LARGO,C,14,7177,7287,14464,0
Salitre - El Greco,(06102)Salitre El Greco,K,14,6548,8705,15253,0
Tercer Milenio,(09109)Tercer Milenio,A,14,6705,11183,17888,0
Universidad Nacional,(07107)U. NACIONAL,E,14,15149,19998,35147,2
AV. Chile,(07103)AV. CHILE,E,12,14953,18249,33202,0
Biblioteca Tintal,(05002)Tintal,F,12,18027,22348,40375,0
